BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,3,7732344,8677448,8800000,9500000,2015,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,3,7000000,8506892,7425000,11095675,2015,,,,
MANHATTAN,CLINTON,02 TWO FAMILY HOMES,1,4640000,4640000,4640000,4640000,2015,,,,
MANHATTAN,CLINTON,03 THREE FAMILY HOMES,1,3500000,3500000,3500000,3500000,2015,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,2,3375000,4062500,4062500,4750000,2015,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY HOMES,3,6250000,12516667,15650000,15650000,2015,,,,
MANHATTAN,GRAMERCY,03 THREE FAMILY HOMES,1,5800000,5800000,5800000,5800000,2015,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,7,5500000,16238571,18250000,32000000,2015,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES,2,9040000,13570000,13570000,18100000,2015,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,16,4000000,11199090,5962500,25000000,2015,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,11,4250000,8597273,8750000,13600000,2015,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,3,5550000,9721667,6615000,17000000,2015,,,,
MANHATTAN,LOWER EAST SIDE,01 ONE FAMILY HOMES,1,3550000,3550000,3550000,3550000,2015,,,,
MANHATTAN,LOWER EAST SIDE,02 TWO FAMILY HOMES,1,2850000,2850000,2850000,2850000,2015,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,5,4800000,6610000,6300000,8150000,2015,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,2,3625000,4437500,4437500,5250000,2015,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY HOMES,2,4000000,4625000,4625000,5250000,2015,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,3,5250000,9883333,11500000,12900000,2015,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,3,6470000,6919093,6887278,7400000,2015,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,2,13800000,14850000,14850000,15900000,2015,,,,
MANHATTAN,TRIBECA,03 THREE FAMILY HOMES,1,6000000,6000000,6000000,6000000,2015,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,7738700,7738700,7738700,7738700,2016,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,7425000,10212500,10212500,13000000,2016,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,1,6109000,6109000,6109000,6109000,2016,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,2,7250000,7300000,7300000,7350000,2016,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,1,6900000,6900000,6900000,6900000,2016,,,,
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,7920400,7920400,7920400,7920400,2016,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY HOMES,2,2225000,4787500,4787500,7350000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,6,9999999,17100000,16575000,26000000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,10,1375000,10275000,8100000,27500000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,6,820000,6729667,6734000,11750000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,3,6225000,8975000,6850000,13850000,2016,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,3,3125000,3875000,3900000,4600000,2016,,,,
